id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec1	8:31725900-31726791_+,11:128530836-128535337_+	5394	2	cyclic	87	435465	80.73	5396	Insertion
ec2	2:144736394-144739636_+	3243	1	cyclic	5	35336	10.90	3247	Insertion
ec3	4:77427777-77433347_+	5571	1	cyclic	6	45984	8.25	5570	Deletion
ec4	4:45487778-45500197_+	12420	1	cyclic	201	1391500	112.04	12489	Insertion
ec5	13:69768188-69774388_+	6201	1	cyclic	67	468016	75.47	6207	Insertion
ec6	7:54972734-54986170_+	13437	1	cyclic	460	2613127	194.47	13444	Insertion
ec7	5:66538762-66541994_+	3233	1	cyclic	7	44907	13.89	3238	Insertion
ec8	6:83969987-83974041_-,6:65826053-65828992_+	6995	2	cyclic	92	645184	92.24	7002	Insertion
ec9	8:77008533-77010954_+	2422	1	cyclic	15	60659	25.05	2425	Insertion
ec10	19:43732922-43740279_+	7358	1	cyclic	8	48955	6.65	7359	Insertion
ec11	15:96545960-96552187_+	6228	1	cyclic	73	399350	64.12	6236	Insertion
ec12	10:15790312-15794659_+	4348	1	cyclic	16	100003	23.00	4348	No_indel
ec13	5:37728789-37739487_+	10699	1	cyclic	259	1760034	164.50	10707	Insertion
ec14	7:91000578-91009531_+	8954	1	cyclic	583	4136266	461.95	8963	Insertion
ec15	18:3810148-3814775_+	4628	1	cyclic	4	31052	6.71	4639	Insertion
ec16	11:125046669-125057694_+	11026	1	cyclic	57	358675	32.53	11034	Insertion
ec17	6:92455613-92462394_+	6782	1	cyclic	105	709264	104.58	6798	Insertion
ec18	15:59041906-59045156_+	3251	1	cyclic	3	17346	5.34	3261	Insertion
ec19	1:110125286-110126421_+	1136	1	cyclic	3	16084	14.16	1136	No_indel
ec20	5:44727451-44740220_+	12770	1	cyclic	76	436996	34.22	12786	Insertion
ec21	14:90164906-90166896_-	1991	1	cyclic	1	11722	5.89	1993	Insertion
ec22	6:136079388-136083857_+	4470	1	cyclic	22	86195	19.28	4467	Deletion
ec23	16:82807752-82812216_+	4465	1	cyclic	31	139244	31.19	4468	Insertion
ec24	4:114556056-114560959_+	4904	1	cyclic	18	99968	20.38	4912	Insertion
ec25	18:72172572-72180675_+	8104	1	cyclic	195	1209882	149.29	8094	Deletion
ec26	1:231924126-231927596_+,1:184575675-184579023_+	6820	2	cyclic	9	54146	7.94	6831	Insertion
ec27	8:53845053-53848883_+	3831	1	cyclic	6	35280	9.21	3831	No_indel
ec28	2:48086030-48088930_+	2901	1	cyclic	31	174128	60.02	2900	Deletion
ec29	8:125230301-125236415_+	6115	1	cyclic	24	157241	25.71	6125	Insertion
ec30	2:126435384-126442695_+	7312	1	cyclic	24	112165	15.34	7303	Deletion
ec31	7:115670496-115678778_+	8283	1	cyclic	226	1374222	165.91	8290	Insertion
ec32	1:238269223-238275349_+	6127	1	cyclic	90	486938	79.47	6108	Deletion
ec33	14:103168828-103175965_-,5:98107748-98108674_+	8065	2	cyclic	129	866724	107.47	8066	Insertion
ec34	12:65564073-65568337_+	4265	1	cyclic	42	212235	49.76	4268	Insertion
ec35	2:227268235-227272260_+	4026	1	cyclic	14	80944	20.11	4030	Insertion
ec36	10:115116868-115124379_+	7512	1	cyclic	295	1874439	249.53	7516	Insertion
ec37	7:42571145-42579616_+	8472	1	cyclic	26	156127	18.43	8476	Insertion
ec38	11:72858136-72864108_+	5973	1	cyclic	117	578368	96.83	5984	Insertion
ec39	2:144531602-144536901_+	5300	1	cyclic	148	759363	143.28	5281	Deletion
ec40	2:57293641-57296383_+	2743	1	cyclic	12	64871	23.65	2745	Insertion
ec41	4:124080993-124087153_+	6161	1	cyclic	85	533301	86.56	6165	Insertion
ec42	13:85541869-85545556_+	3688	1	cyclic	21	155953	42.29	3691	Insertion
ec43	12:23628993-23632619_+	3627	1	cyclic	48	295416	81.45	3627	No_indel
ec44	6:13722251-13724244_+	1994	1	cyclic	10	32621	16.36	1998	Insertion
ec45	7:49981073-49983906_+	2834	1	cyclic	9	45444	16.04	2897	Insertion
